Date,Trump_Lead,Is_Harris
29-Nov-2021,2.53699842977126,0
30-Nov-2021,2.53699842977126,0
01-Dec-2021,2.53699842977126,0
02-Dec-2021,3.78161914591219,0
03-Dec-2021,3.78161914591219,0
04-Dec-2021,3.78161914591219,0
05-Dec-2021,3.78161914591219,0
06-Dec-2021,3.78161914591219,0
07-Dec-2021,3.78161914591219,0
08-Dec-2021,3.78161914591219,0
09-Dec-2021,3.78161914591219,0
10-Dec-2021,3.78161914591219,0
11-Dec-2021,3.78161914591219,0
12-Dec-2021,3.78161914591219,0
13-Dec-2021,3.78161914591219,0
14-Dec-2021,3.78161914591219,0
15-Dec-2021,3.78161914591219,0
16-Dec-2021,3.78161914591219,0
17-Dec-2021,3.78161914591219,0
18-Dec-2021,3.78161914591219,0
19-Dec-2021,3.63258834676219,0
20-Dec-2021,3.63258834676219,0
21-Dec-2021,3.63258834676219,0
22-Dec-2021,3.63258834676219,0
23-Dec-2021,3.63258834676219,0
24-Dec-2021,3.63258834676219,0
25-Dec-2021,3.63258834676219,0
26-Dec-2021,3.63258834676219,0
27-Dec-2021,3.63258834676219,0
28-Dec-2021,3.63258834676219,0
29-Dec-2021,3.63258834676219,0
30-Dec-2021,3.63258834676219,0
31-Dec-2021,3.63258834676219,0
01-Jan-2022,3.63258834676219,0
02-Jan-2022,3.63258834676219,0
03-Jan-2022,3.63258834676219,0
04-Jan-2022,3.63258834676219,0
05-Jan-2022,3.63258834676219,0
06-Jan-2022,3.63258834676219,0
07-Jan-2022,3.63258834676219,0
08-Jan-2022,3.63258834676219,0
09-Jan-2022,3.63258834676219,0
10-Jan-2022,3.63258834676219,0
11-Jan-2022,3.63258834676219,0
12-Jan-2022,3.63258834676219,0
13-Jan-2022,3.63258834676219,0
14-Jan-2022,3.63258834676219,0
15-Jan-2022,3.63258834676219,0
16-Jan-2022,3.63258834676219,0
17-Jan-2022,3.63258834676219,0
18-Jan-2022,3.63258834676219,0
19-Jan-2022,3.63258834676219,0
